Tag	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA-3M-AB46-01	0.047780918797984	0	0.00771347252422822	0.0409578531195839	0	0.243925077616338	0	0.0194086354217827	0.0938201472417077	0	0	0.0285054815703591	0	0.309809370639141	0.083258534511227	0.0556500351282555	0.020950659918941	0.0212528174784505	0	0.0226916947702606	0	0.0042753012617413	0.29	0.0583318203018289	1.08838602650376
TCGA-B7-5818-01	0.0104132608898246	0	0	0.121592501234085	0	0.107492566585466	0.166200115822502	0.00584244711546591	0.0255739208842676	0	0	0.0536575556196395	0.0161309124885897	0.142769296675123	0.0990937554181117	0.144378468179631	0.0261869723494261	0	0.0732649880696162	0	0	0.00740323866825183	0.02	0.30060106127775	0.96260607801855
TCGA-B7-A5TI-01	0.107354521625916	0	0.0856992652107476	0.101820405646729	0	0.184796412830349	0.0545961263783196	0.0347142254277664	0.0245238350585159	0	0	0.0171631500460095	0.00638154181848968	0.0943891187232923	0.106714698506518	0.138398016496837	0.0106902582823257	0	0.0327584239481838	0	0	0	0.1	0.113305430294725	1.03571274634004
TCGA-B7-A5TJ-01	0.0424795154658885	0	0.0191109597466371	0.0303402561434614	0	0.195370624822082	0	0	0.0482451205799977	0	0.00516481785687917	0.0108589030187385	0	0.465624621347754	0.0414076175281574	0.113531406693803	0	0	0.0278661567966011	0	0	0	0.06	0.137375956816579	1.0799964661103
TCGA-B7-A5TK-01	0.0069184442437998	0	0.036794298939634	0.355702296656264	0	0	0.209671285515152	0.0120689675292197	0.00456281387335757	0.0103573495532306	0	0.0211402545228302	0	0.0251572053563404	0.133881389962787	0.0861909048736357	0.0126914790145796	0.0304458486510028	0.0517738074144623	0	0	0.00264365389370462	0	0.460989441721447	0.887190814009444
TCGA-B7-A5TN-01	0.0695627082910679	0	0.0313535329760155	0.0317778669030894	0	0.272823680288274	0.00763623238696898	0.000947205055185542	0.127362420667937	0	0	0.0540002784652388	0	0.0477792205577449	0.0628689937517417	0.190641356905563	0.046447894524112	0	0.0502616201474232	0	0	0.00653698907963835	0.14	0.105290449800672	1.04263786717846
TCGA-BR-4187-01	0.0182849677601886	0.0116902500502723	0.00100879918732165	0.0545083146661583	0	0.161624148480468	0.0224723088868383	0	0.0225795095996947	0.0665234521987095	0	0	0.0100010671874529	0	0.0191956214072799	0.284700494731035	0.00415599713276579	0.00972259979520944	0.21530102941768	0	0.0444952158254711	0.0537362236734548	0	0.497156769556949	0.870066196391861
TCGA-BR-4191-01	0.0231666405978746	0	0.0303155197286415	0.0670620816414167	0	0.153599669418754	0.0823503403919399	0	0.0179917853657247	0	0.0244660830404638	0	0.0559673643104139	0.055051121291493	0.0438576745526264	0.215101444681268	0.120917621104636	0	0.0264882732964778	0	0.072129485212942	0.0115348953653269	0	0.344277809715337	0.939306473385013
TCGA-BR-4201-01	0.0270713320569305	0	0.0539756053791232	0.0234844935467966	0	0.193774989913915	0.0442107257280678	0	0	0.0165790224935137	0.0249332074354555	0	0	0.120629282716243	0.0583073201168942	0.202092720217715	0.00622549075985154	0	0	0.0813296228390718	0.0609367064061106	0.0864494803903107	0	0.339240195940958	0.944046582739523
TCGA-BR-4253-01	0.0151702869203418	0	0.0145297178900417	0.19436702610835	0	0	0.292171694635838	0	0	0.0807120229891913	0.0280263964535707	0	0	0.0454429236850866	0.112587577378221	0.14565968921958	0.00434903662017579	0.013654107657639	0.0385002020531089	0	0	0.0148293183888555	0	0.390068649704032	0.922678752211268
