Tag	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-BR-A4J5-01	3728.577	3791.76	7520.337
TCGA-BR-A4J6-01	1422.772	2216.575	3639.347
TCGA-BR-A4J7-01	3558.852	4985.204	8544.056
TCGA-BR-A4J8-01	2328.002	2577.139	4905.141
TCGA-BR-A4J9-01	2886.589	3324.134	6210.722
TCGA-BR-A4PF-01	1380.036	4264.902	5644.938
TCGA-BR-A4QL-01	94.21478	2410.85309	2505.06787
TCGA-CD-5798-01	3461.275	3880.713	7341.988
TCGA-CD-5799-01	1353.301	2058.828	3412.13
TCGA-CD-5800-01	363.2175	2098.9119	2462.1295
TCGA-CD-5801-01	1865.98	5242.702	7108.682
TCGA-CD-5803-01	4410.296	5989.49	10399.786
TCGA-CD-5813-01	4551.179	5660.644	10211.823
TCGA-CD-8524-01	2564.882	3233.342	5798.224
TCGA-CD-8525-01	2002.071	4064.897	6066.968
TCGA-CD-8526-01	1661.741	2992.351	4654.092
TCGA-CD-8527-01	797.0571	2562.2086	3359.2657
TCGA-CD-8528-01	1512.352	2535.042	4047.395
TCGA-CD-8529-01	3632.177	5380.594	9012.771
TCGA-CD-8530-01	3616.096	3411.409	7027.505
TCGA-CD-8531-01	2179.269	5104.866	7284.135
TCGA-CD-8532-01	2387.803	4985.953	7373.756
TCGA-CD-8533-01	543.8218	298.8742	842.696
TCGA-CD-8534-01	1562.535	3204.115	4766.65
TCGA-CD-8535-01	160.2886	640.4566	800.7452
TCGA-CD-A486-01	1776.134	2885.702	4661.835
TCGA-CD-A487-01	1893.081	2307.844	4200.925
TCGA-CD-A489-01	2937.875	3872.034	6809.908
TCGA-CD-A48A-01	790.0854	2612.6687	3402.7542
TCGA-CD-A48C-01	1963.784	2888.242	4852.026
TCGA-CD-A4MG-01	2434.217	3594.8	6029.016
TCGA-CD-A4MH-01	1078.942	2493.972	3572.914
TCGA-CG-4301-01	3255.513	3957.277	7212.791
TCGA-CG-4305-01	3134.538	5015.041	8149.579
