Tag	Activated B cell	Activated CD4 T cell	Activated CD8 T cell	Central memory CD4 T cell	Central memory CD8 T cell	Effector memeory CD4 T cell	Effector memeory CD8 T cell	Gamma delta T cell	Immature  B cell	Memory B cell	Regulatory T cell	T follicular helper cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell	Activated dendritic cell	CD56bright natural killer cell	CD56dim natural killer cell	Eosinophil	Immature dendritic cell	Macrophage	Mast cell	MDSC	Monocyte	Natural killer cell	Natural killer T cell	Neutrophil	Plasmacytoid dendritic cell
TCGA-3M-AB46-01	-0.345192425155429	0.216297380551361	0.134690182484291	0.436030776506308	0.275796524405477	0.106416880786751	0.0300803320650195	0.194043134728784	-0.157833511741656	0.0783029762572788	-0.0191143632592739	0.0521045904443169	0.0489746631413378	0.0276786541625639	0.143453827491012	0.133329385498842	0.185046829232687	0.376070844458193	-0.144271360819317	0.260421187641986	0.000927340446863322	-0.124817853191838	0.155403965188186	0.290536332666431	0.278848535628105	0.0915420398815519	-0.180829490328122	0.29687942046393
TCGA-B7-5818-01	-0.144499947118257	0.270004436281707	0.368807311457129	0.50864084522914	0.371983768216058	0.0923179247807241	0.207483122885856	0.287453095189174	0.0296139955410741	0.02956716775778	0.183632765487254	0.179608935288978	0.159104288693534	0.103652791159967	0.0542070615583144	0.237594156141511	0.256026379528405	0.433545341663122	-0.16503203004968	0.24020835040387	0.111143930720969	0.00335816531556564	0.446003314562797	0.387593722194829	0.318410216212199	0.107110468901925	-0.199954477450656	0.303007571612546
TCGA-B7-A5TI-01	-0.106502347188267	0.262908337099029	0.210370201304145	0.483612561638218	0.382110947909756	0.112685426787959	0.105177091695427	0.292682388973634	-0.00292393039301639	0.00611671021891546	0.085816378658514	0.106533085227323	0.116081030719791	0.0450433441337839	0.0817652628814293	0.179434739720885	0.202328011406495	0.356376854838386	-0.170541693593854	0.306858880504605	0.0341331804021044	0.0174366095952424	0.272177524655305	0.32014605327605	0.272162044240439	0.0896918794767781	-0.2261172076048	0.335600051110989
TCGA-B7-A5TJ-01	-0.285448799463034	0.0976475891070619	0.110896903378833	0.482907155367599	0.297220085767282	0.0978688207550146	0.0433756413872731	0.259324443460186	-0.146051819585973	0.0607810684206436	0.026313375800631	0.0744957236990411	0.0606015317492379	0.0260944844029621	0.0525223140693718	0.15708394817462	0.207721725051099	0.395101200935051	-0.175562395172213	0.291381465896575	-0.0266570498887869	-0.145999222492985	0.188363480040005	0.343885103556489	0.237937554823642	0.0734096760771066	-0.236326205109179	0.283714401239956
TCGA-B7-A5TK-01	-0.0639687655971175	0.320519159955856	0.510641776055617	0.580034852970176	0.374241300102681	0.177430979468608	0.347712186385643	0.351646592196501	0.102745962439818	0.0729207867699976	0.314243989207159	0.197260806083449	0.245161383071731	-0.00508074642321914	0.24039802052149	0.293321134941188	0.240809735943341	0.2813865928931	-0.150085914446979	0.318699708931926	0.100499280957332	0.0700382983299927	0.483600035985789	0.368981618028492	0.378545966910341	0.170663189627334	-0.16481912424574	0.317508492707519
TCGA-B7-A5TN-01	-0.227790623478769	0.0982312509997267	0.176566225287772	0.509643421826395	0.368401324570075	0.079193368386626	0.132058115678044	0.240656106377213	-0.0873427591125279	0.00453449922904187	0.0782028406599445	0.0892699112163113	0.113724904436545	0.0789747831388803	0.047219891729022	0.238870375181772	0.204476632735352	0.376072919975293	-0.0742018528855714	0.250779781830588	0.0383558840297841	0.0586588371472795	0.298446556802988	0.319748094169275	0.311841338972105	0.13188438629002	-0.271903332081584	0.307804023690746
TCGA-BR-4187-01	-0.0387104365407732	0.170349197488819	0.316983268533748	0.53030049826748	0.466915194006522	0.228867611810914	0.223540182930889	0.367807543239949	0.123475848531622	0.138386246541618	0.301790680449015	0.225656541732247	0.205515267060863	-0.00948887087065772	0.12401953880894	0.259811331269722	0.235750682295405	0.298183329023072	0.0186788218592898	0.383586135780779	0.189173618394713	0.304203280661612	0.49779070192525	0.400741734154234	0.361965199942535	0.163688296589794	0.0575207632415764	0.371784672542833
TCGA-BR-4191-01	-0.0295400712031584	0.308243316109455	0.378737254764872	0.550717459558266	0.38652653955001	0.176028855756982	0.253815927242928	0.297804547036363	0.129416985143195	0.112294897734295	0.372151433682053	0.230842462157675	0.21169780744294	0.070840253622139	0.147419437794443	0.257011816864255	0.23517652726851	0.370681958159186	-0.0285806063160523	0.35435680431861	0.129975987897427	0.123649906999531	0.501387632637426	0.383962504924441	0.34565710671029	0.146183636589539	-0.0746333497951639	0.333254124873439
TCGA-BR-4201-01	-0.137688138957034	0.353636047370474	0.293267412719769	0.524946260628615	0.493759958245395	0.218786996925683	0.194063388312283	0.345551892048343	0.067321542384347	0.0924854046748682	0.336551094813884	0.198378135867403	0.179006671073623	-0.0408182808031657	0.201324621255372	0.22739013511905	0.220588618817749	0.314788204018374	-0.0302468866943338	0.347924522981817	0.0895967792074804	0.134852803540442	0.44109569563578	0.342468195348637	0.303566338259088	0.172780234450335	-0.0442487088248581	0.345356177023195
TCGA-BR-4253-01	0.0271587677561789	0.508417487193179	0.539175290898045	0.542348320767166	0.419342617976534	0.208786333340924	0.369330156452035	0.317971037956635	0.224589248274789	0.168136900799399	0.348227369944739	0.226988548105349	0.233423872375075	0.0324534396822465	0.222548719730002	0.32256072841206	0.236020960150245	0.319168425628885	-0.0649364630533779	0.335135200336417	0.134022667989306	0.117790041135635	0.506725870409071	0.396433322770316	0.355717347481883	0.159525058621075	-0.0498551040782481	0.334086606206896
