Tag	T cells	CD8 T cells	Cytotoxic lymphocytes	B lineage	NK cells	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA-3M-AB46-01	1.06226929199683	0.67584403180472	0.487826998544298	0.39735176121367	0.120933930699847	1.80385277409149	0.66218913940797	1.5288428936387	2.00283626869178	5.92390452283389
TCGA-B7-5818-01	2.39594338015283	2.80957426898549	1.59451848400535	0.714660540632547	0.386746287511169	3.7330101591591	1.36298942971649	1.88763819385592	2.24018922768353	6.44721297296503
TCGA-B7-A5TI-01	1.83636723104535	1.3920373382794	1.11956671114484	2.31762919761174	0.381798087770664	3.18141640458499	1.1238636810275	1.36687213855954	3.66056886119416	7.3775064729747
TCGA-B7-A5TJ-01	1.13974395243993	0.519767207446684	0.561455261991029	0.641929511207469	0.101198359919834	2.12787431595694	0.812360543038569	1.53836212663703	2.53520544160684	6.14919699121123
TCGA-B7-A5TK-01	3.25051572883388	4.84988310393773	3.09960707176858	1.11290533408651	1.35934135093227	4.33690756928906	1.98694178005802	1.72731256647166	2.91498288015438	7.73072539224088
TCGA-B7-A5TN-01	1.69629265609133	1.29874538172356	0.928785747382865	0.972342285755532	0.2355514430399	3.25785768510278	0.812291210894377	1.85893784700124	3.00154907838324	8.5027255194068
TCGA-BR-4187-01	2.19462892856348	3.13598178193464	1.53287166925057	2.51969170939568	0.486855300473511	4.49359563533595	2.50534548148025	2.75352414707628	3.60173073681841	8.80864195866593
TCGA-BR-4191-01	2.8935048056255	2.89898682626658	1.96557679539354	2.63561831472972	0.876480452218104	5.06264787558214	3.5956547684548	2.48034491508083	3.70014404688906	7.03616779891392
TCGA-BR-4201-01	2.41566573407807	1.10819107200523	1.9595498302782	2.3706826382065	1.14660381017891	4.23331600384108	1.84659301173641	2.87561555854453	3.13609173495364	8.36910576013106
TCGA-BR-4253-01	3.84574132468399	4.66464321678525	3.83376687726381	1.83180804248957	1.12144226245437	5.47853213062868	2.15935196102176	2.26524331449834	2.76350548242738	5.81940724559223
TCGA-BR-4256-01	2.87160142048186	3.39717446507376	2.25568746685241	1.94989567710948	0.800194152435948	4.87988500558749	1.84160663132315	3.1779487838111	3.68880728373912	8.50383187491169
TCGA-BR-4257-01	2.17850589588253	2.53759114352091	1.76127067513665	0.887706682160938	0.488937037002594	4.11128299856302	2.05166535019935	2.301257952452	2.63852991879943	7.46602851145502
TCGA-BR-4267-01	1.56180446316095	1.36264969375886	0.878799628082735	1.80343784771439	0.279408703323804	3.47270543538509	1.41769926056392	2.64699786131059	2.4904228223949	6.14886948704721
TCGA-BR-4279-01	2.24776629273176	3.48740125520373	2.1074301788228	1.47096774773036	0.964122396113669	4.07995809603359	2.35064867714636	2.48597900987149	3.52382551513981	8.43032699227625
TCGA-BR-4280-01	2.29256887460358	2.08933881400357	1.65655825806451	0.997274110688158	0.463328768053215	3.29738134256651	1.10954473628003	2.01953228253223	2.09589718026266	5.53880131959695
TCGA-BR-6452-01	2.60986612954447	2.28355770359181	2.32540010328444	1.6453121594899	0.943912167585965	3.85536946664255	2.18640560848785	1.91980326687808	2.88800052748673	7.34637249936161
TCGA-BR-6453-01	3.09304420622281	3.081540599772	1.40439162013548	5.84064725074376	0.349885320925094	3.39528411285647	2.84143475430422	1.47479615258052	3.11495627775989	6.96041433516651
TCGA-BR-6455-01	2.65490497199072	3.95206919742538	1.96910276423965	1.92668424197637	1.10832681468524	4.18267947726848	2.70353656746904	1.95662193203275	3.10427358621033	7.05300450466447
TCGA-BR-6456-01	2.68508310167137	2.49721612364321	1.61329984445178	2.36147931445746	0.469032547675652	3.88125642934674	1.95965876712884	2.39744784471454	3.84992042072535	8.73426035567225
TCGA-BR-6457-01	2.27396482164502	2.66328441550713	1.58183263685459	3.3904250662904	0.528211491615209	3.08721194109686	2.41434197811308	1.8280426505177	3.81240862718454	9.05565118185158
TCGA-BR-6458-01	2.96477107987212	2.96439343897043	2.01009245837925	2.36669380515399	0.737809403706374	4.31400554179407	2.0312566402307	1.82269631319139	3.45117034363213	7.96836761562498
TCGA-BR-6563-01	2.77427527944764	4.08402427657267	1.94967833916655	4.04765239706143	0.53196304271449	3.44294932364155	2.31814024367294	1.68116994624858	3.17033278406822	8.03771892350165
TCGA-BR-6564-01	2.41385609340304	2.445087463088	1.40440888424539	2.2546571276492	0.255257224537829	2.89984876230913	1.99230074009802	1.59054634141207	3.73018463777041	8.66520763233508
TCGA-BR-6565-01	2.74064820180304	2.85504973927627	2.00802073211108	2.57905935155995	0.646224457195935	3.86343902348427	1.42575511306255	1.70952850165164	2.97376057261948	7.65650568938578
TCGA-BR-6566-01	1.71166051066082	1.84566957328167	1.49676745248129	1.15247483543996	0.853654318401108	3.10125607610805	1.12642426049378	1.26494734769632	1.9019658246683	7.69919567832289
TCGA-BR-6705-01	2.19368796919468	1.93592336659414	1.60227610170049	2.56286224275004	0.535027297054175	3.06488475154925	2.19319795434839	2.28965347761398	4.63205782145696	9.09688803255026
TCGA-BR-6707-01	2.69232146790397	4.34390172263976	2.30441896065888	1.64563725203301	0.858224373631035	3.44488661941353	1.0742770823131	1.61605098906048	2.5529632679536	5.98394422241292
TCGA-BR-6709-01	3.34906556172701	4.65822295278313	2.3734526131136	2.79711285187795	0.834624812767061	4.98438537069211	1.97749439155435	1.99609162613731	2.77616986544709	7.15441658587835
TCGA-BR-6710-01	1.68558257007111	1.76972300038846	0.869982108658369	1.01620859105218	0.393643602237562	1.65871212717256	0.774586355238385	1.89264952609726	2.60304354072282	5.80357013683066
