Tag	Cardiolipin Metabolism	Cardiolipin Biosynthesis	Cholesterol Biosynthesis	Citric Acid Cycle	Cyclooxygenase Arachidonic Acid Metabolism	Prostaglandin Biosynthesis	Purine Biosynthesis	Pyrimidine Biosynthesis	Dopamine Biosynthesis	Epinephrine Biosynthesis	Norepinephrine Biosynthesis	Fatty Acid Degradation	Fatty Acid Elongation	Fatty Acid Biosynthesis	Folate One Carbon Metabolism	Folate biosynthesis	Gluconeogenesis	Glycolysis	Glycogen Biosynthesis	Glycogen Degradation	Heme Biosynthesis	Hexosamine Biosynthesis	Homocysteine Biosynthesis	Remethylation	Transsulfuration	Ketone Biosynthesis and Metabolism	Kynurenine Metabolism	Methionine Cycle	Pentose Phosphate	Nicotinamide Adenine Metabolism	ADP-Ribosylation	Nicotinamide Adenine Dinucleotide Biosynthesis	Nicotinate and Nicotinamide Metabolism	Sirtuin Nicotinamide Metabolism	Polyamine Biosynthesis	Prostanoid Biosynthesis	Pyruvate Metabolism	Retinoic Acid Metabolism	Retinoid Metabolism	Retinol Metabolism	Steroid Hormone Metabolism	Aldosterone Biosynthesis	Cortisol Biosynthesis	Estradiol Biosynthesis	Testosterone Biosynthesis	Urea Cycle	Vitamin K	Pentose and Glucuronate Interconversions	Fructose and Mannose Metabolism	Galactose Metabolism	Ascorbate and Aldrate Metabolism	Starch and Suctose Metabolism	Amino Sugar and Nucleotide Sugar Metabolism	Glyoxylate and Dicarboxylate Metabolism	Propanoate Metabolism	Butanoate Metabolism	Inositol Phosphate Metabolism	Oxidative Phosphorylation 	Nitrogen Metabolism	Sulfur Metabolism	Steroid Biosynthesis	Primary Bile Acid Biosynthesis	Steroid Hormone Biosynthesis	Glycerolipid Metabolism	Glycerophospholipid Metabolism	Ether Lipid Metabolism	Shingolipid Metabolism	Arachidonic Acid Metabolism	Linoleic Acid Metabolism	alpha-Linoleic Acid Metabolism	Biosynthesis of Unsaturated Fatty Acids	Purine Metabolism	Pyrimidine Metabolism	Alanine, Aspartate and Glutamate Metabolism	Glycine, Serine and Threonine Metabolism	Cysteine and Methionine Metabolism	Valine, Leucine and Isoleucine Degradation	Valine, Leucine and Isoleucine Biosynthesis	Lysine Degradation	Arginine Biosynthesis	Arginine and Proline Metabolism 	Histidine Metabolism	Tyrosine Metabolism	Phenylalanine Metabolism	Tryptophan Metabolism	Phenylalanine, Tyrosine and Tryptophan Biosynthesis	Beta-Alanine Metabolism	Taurine and Hypotaurine Metabolism	Selenocompound Metabolism	D-Glutamine and D-Glutamate Metabolism	Glutathione Metabolism	N-Glycan Biosynthesis	Mucin Type O-Glycan Biosynthesis	Other Types of O-Glycan Biosynthesis	Glycosaminoglycan Biosynthesis	Glycosaminoglycan Degradation	Glycosphosphatidylinositol	Glycosphingolipid Biosynthesis	Other Glycan Degradation	Thiamine Metabolism	Riboflavin Metabolism	Vitamin B6 Metabolism	Pantothenate and CoA Biosynthesis	Biotin Metabolism	Lipoic Acid Metabolism	Porphyrin and Chlorophyll Metabolism	Ubiquinone and other Terpenoid-Quinone Biosynthesis	Terpenoid Backbone Biosynthesis	Caffiene Metabolism	Neomycin, Kanamysin and Gentamicin Biosynthesis	Metabolism of Xenobiotics by Cytochrome P450	Drug Metabolism by Cytochrome P450	Drug Metabolism by other enzymes
TCGA-3M-AB46-01	0.34225722997344	0.21770158062973	0.390873827678489	0.409258351376622	0.301451431794274	0.303909628134681	0.293769393174713	0.309595720155383	-0.0262725744419317	-0.141480718598112	-0.099735256762828	0.161556297887597	0.263259763381272	0.167405968507422	0.120789916759273	0.283253333193565	0.21547404171723	0.190464521113645	0.268509510107968	0.260369224875972	0.175616453545642	0.512333482282124	0.298271057075699	0.263364891521841	-0.170475043767051	0.169644001705177	-0.0068414643621529	0.234279371072814	0.333912347447623	0.286306769446935	0.175182780643082	0.165462857138942	0.124381014012115	0.183901782098412	0.416885727304813	-0.0472114732820492	0.223934724969649	-0.0848375364562019	-0.235634814956148	-0.0539090933647335	-0.133887079356967	-0.112261605988054	-0.211291386746947	-0.120261777573649	-0.126921442268432	0.15454394036992	0.246658806561721	-0.0266568388014316	0.196716122251463	0.210595432915883	-0.166713335191125	0.0632768563414978	0.229879043113369	0.177346945756928	0.217042459468209	0.0513172315156318	0.137010700295532	0.417338622723581	0.0381846500240049	0.427284860952688	0.264706153412989	0.0230022728706951	-0.158865471063552	0.109100101680705	0.0929055305052098	0.0426356882815299	0.206192571520293	-0.0368021753209428	-0.169062417487069	-0.092843839101918	0.212941223182404	0.176925715157191	0.259420779997385	0.0913759634665888	-0.00197072190796394	0.243850350674261	0.20915372745428	0.0812709792250478	0.205630722950774	0.0527493302353155	0.188375620048474	0.0720272743120027	-0.00211533538783709	0.0959302205105243	0.0982288903081609	0.230056786624386	0.0993874740980914	-0.0604398745024733	0.16931956459805	0.0103747519927535	0.303188483690005	0.284117403253189	0.0793588420648164	0.0945677256869688	0.0378139963437467	0.109459945783198	0.188569452200909	0.0941043236392176	0.255835261062375	0.0135694520958832	0.362175911471123	0.144943021483882	0.0563825754179895	0.170145088333558	0.0377595093975576	0.0123055688358957	0.207134460549108	0.32682867396568	-0.0707669781361269	0.0465039253029626	-0.032814485543818	-0.072418129056626	0.0197556144327781
TCGA-B7-5818-01	0.214040393415634	0.215097720692682	0.431358432623253	0.409545993549626	0.216115567595696	0.398728995964943	0.287490858917918	0.304546975288838	0.0745910732525209	-0.0540724605721331	0.00702804663800383	0.182492727204578	0.273989080941317	0.146803646147475	0.100068709443013	0.119277099489729	0.230795322574438	0.214421095606684	0.190512778248533	0.169035232250906	0.249926221415505	0.377124371041975	0.311741591789125	0.210896857786376	-0.29215581216906	0.080187248628557	0.0757972358678732	0.234296499847388	0.300455245421559	0.338482233783743	0.19129729062609	0.0366520987864183	0.0855138516428014	0.184563359782127	0.422812557502883	-0.0592350830249469	0.19035879772783	-0.0933554810889637	-0.183886765544028	-0.0136934497891448	-0.111415265263497	-0.0590426160195246	-0.162509698339139	-0.133132777640359	-0.126541640693709	0.20014967033417	0.295165727445494	0.0506757363708046	0.322769878982137	0.273675129192303	-0.129310822924153	0.0743370876790198	0.267850599084887	0.247188681414973	0.166234261172755	0.0407226153775202	0.159252655656346	0.416770424582324	0.12312317542015	0.446751351360875	0.278486066736692	0.0255918576801098	-0.13923768622578	0.116853740206143	0.134012523171726	0.0946976939691958	0.232582732321141	0.0105051717082054	-0.162865483532192	-0.0310507781492643	0.231555555821542	0.15595370804296	0.262094447802775	0.131640115019858	0.0758781493626992	0.25041877837727	0.210328297587918	0.279888189115631	0.215136766760467	0.117046929284794	0.222492197159752	0.0626772311035573	0.0806916619093301	0.141261196822142	0.130443441075445	0.246106428417966	0.113590835214219	0.0412149337424764	0.136426189817437	0.139227785781753	0.308581172194014	0.313683488335284	0.0627051382533792	0.130522377687203	0.149152768805127	0.22770301740988	0.204735059076896	0.147915572337288	0.296352791383834	0.016608713737021	0.285012812323268	0.232166167143902	0.0816547838173269	0.0994597239450485	0.104612175574682	0.0775936443053018	0.174979595254443	0.294495224623371	-0.301328036462823	0.239659475004724	-0.0150123012903526	-0.0545492200815969	0.0345954478500787
TCGA-B7-A5TI-01	0.281732072654113	0.215468802613087	0.334899875849606	0.440457074743393	0.361581900050901	0.378970392115866	0.315708568261429	0.29522608668259	0.118231434939559	-0.0165013194779903	0.0360280907962022	0.23184501811385	0.286910733010999	0.114468518213044	0.130940019677318	0.159341608112742	0.277631185772151	0.252026340263158	0.248863469787772	0.242616514365942	0.237424863593203	0.450223099262237	0.329761936989588	0.267687786745598	-0.211961847039227	0.189112077351852	0.0223611450155158	0.218455068336249	0.324913510610849	0.336553307609696	0.108715408694014	0.177070040773697	0.15165612378651	0.124219557347942	0.411019592164564	0.129082940151404	0.252569896608757	-0.0596536245622035	-0.242248349532254	0.057893864415153	-0.0579094456826288	-0.0395507173474222	-0.151347850617355	-0.0205515551764538	-0.0421122917866821	0.25945588229066	0.265074541575916	0.111864960640143	0.297987039754327	0.27310619494889	-0.000856877943314234	0.113801718349692	0.265792674780769	0.246545232732901	0.220446372210671	0.0999905620887096	0.196851933550686	0.418951719504631	0.0458466606498781	0.499794765628233	0.190565132965653	-0.0116911104011435	-0.0845432933745536	0.160534078452475	0.151505660535818	0.0942908989753814	0.239685530955149	0.0194318928749727	-0.169549383886069	-0.0941391638270664	0.217346812699994	0.185333246899904	0.259378383732763	0.143386061547654	0.0753309277506852	0.235504585176222	0.258968002656792	0.181836234176884	0.209594170755007	0.14002795115832	0.254937329913453	0.182308894598455	0.131333485625977	0.188712119937504	0.158850105972634	0.150718748479472	0.176189329719816	-0.0353896430911932	0.181727126313175	0.0859005233407637	0.336851406127055	0.344459024953176	0.108671320325282	0.165145777564284	0.139361587068963	0.251202290987724	0.230178591459516	0.122177130954791	0.284407312344906	-0.00973569165906614	0.314526423093385	0.256680153147429	0.0707190201844999	0.108252652336587	0.0426348432144157	0.142734797800019	0.183231071438735	0.305699156591061	-0.194482046458976	0.108356971456272	0.0857112796388377	0.0495714232257531	0.0723730453315988
TCGA-B7-A5TJ-01	0.407677000943188	0.229782744465358	0.439954007052523	0.441066355965271	0.175953509460827	0.360532063905556	0.286323351930712	0.290357088549751	0.108710400356333	-0.0129203320106266	0.0305053980452795	0.207184469401649	0.260862350979571	0.177764218588031	0.0903393930785046	0.150519542186828	0.245570778985988	0.22350068870653	0.247405056764387	0.229218037110888	0.185510140566106	0.447590614759947	0.318778399891063	0.258939030153059	-0.188853393163445	0.239782165916317	0.00323079515888697	0.225929087185249	0.309521025175402	0.313057642581057	0.151212145806456	0.159599844653124	0.124731398330575	0.169101571404258	0.42900188553924	-0.0264417042700952	0.262320983385235	-0.0232553279132368	-0.221109753483193	-0.013506346391859	-0.0829955151773616	-0.0627488613645382	-0.157672053482735	-0.114952694070541	-0.0877443109038311	0.265886127070419	0.184943306819519	0.0583319695916944	0.281234799660289	0.256639493759969	-0.0587049300237044	0.0842202708284576	0.245619018213177	0.235431633150114	0.245334182610126	0.10543523099596	0.205109971858349	0.410087366380077	-0.0647416280295454	0.443709227650429	0.317942575607696	0.0423361080253299	-0.108074757644242	0.211791272967752	0.160503700093832	0.0885211548904691	0.233431428859525	0.0186047517695536	-0.137470393132942	-0.0733693176909281	0.168757066630732	0.171911799892944	0.239445822621862	0.137972209116356	0.0321451922974998	0.209780036431985	0.257238407687542	-0.00421079503653933	0.232494667644294	0.182816380171174	0.247022193274964	0.160460478396737	0.0345375059378125	0.13791274634762	0.127994547406791	0.117574040830539	0.178025261238585	-0.00438105450601188	0.17020329601679	0.116485667962382	0.305511723810068	0.308346077918741	0.149234710101263	0.154874503276748	0.101338691527287	0.181612791847966	0.162594821384301	0.128754040110408	0.261057844998793	-0.000560483429599152	0.33975842862842	0.20026930105379	0.0310438265923988	0.0781332518476719	0.0192492593846744	0.0594226051733924	0.150265671082067	0.35969064416048	-0.122018364820948	0.247458226335055	0.0176227107015087	-0.0316967049263575	0.0526407610696386
TCGA-B7-A5TK-01	0.182543406715941	0.177068903271752	0.292504110443689	0.370047349819854	0.38084356662484	0.393824112155841	0.293055571618881	0.334529633038701	-0.0822317544507262	-0.192709526133773	-0.143118193644076	0.140116343370509	0.264110507815806	0.135734624047517	0.104387388391454	0.152760968640089	0.19228941633871	0.172996499609563	0.251399158441259	0.212754331011251	0.161288597670616	0.388676140521578	0.297211496123007	0.203843957669153	-0.225199885893608	0.0472880211225655	0.0865145714577989	0.23335243675779	0.245093735694796	0.258047323421138	0.226689307247385	0.0296069517542464	0.133373238602274	0.0877437661382874	0.456129293786032	0.343128016168644	0.196059134714721	0.0231154386474476	-0.204337936737927	-0.0500336548552339	-0.142279676932783	-0.104022105290673	-0.199050627738755	-0.0432560725399381	-0.0697305021505698	0.128797388376003	0.30175599165059	-0.00569740372629412	0.220429090672015	0.222405812889383	-0.161926239008441	0.0590624332392439	0.216094382514901	0.157925074724029	0.143732395802299	-0.00336130888227124	0.173355894672771	0.406426847987974	-0.0704750309844144	0.407797637455149	0.181621955791458	-0.0276172379866282	-0.168339695040549	0.105594285296559	0.118933312881222	0.144361606914923	0.230307476519462	0.0338027240549113	-0.128967769334795	-0.0171770979528457	0.21115765799565	0.168239011124488	0.250757804104194	0.0868208832042464	0.00472648549738779	0.249917826136244	0.175684095342162	0.160440486507131	0.166935404773251	0.0987648925730238	0.207422973718095	0.0671800710502309	0.0229226726512303	0.14065183851082	0.12564138548402	0.238262306599625	0.150843831466288	-0.100805464933312	0.159724296558224	0.0767432727765104	0.27953339754031	0.283490545193366	0.086554271498254	0.0984765211921721	0.115547764768478	0.218381076887919	0.142062277227855	0.0735526495552056	0.228814917375016	-0.0751093168665232	0.307813953522062	0.176872219504137	0.0878088033649481	0.0996921265173542	0.0463656912405341	0.0282644400273788	0.153613857727684	0.239085024849998	-0.145449240284915	0.234859686494921	-0.0611751257067815	-0.110357347370292	0.00895371035393069
TCGA-B7-A5TN-01	0.465196367381965	0.218044678814843	0.317654444297611	0.37691701369721	0.298872401537382	0.399546423617129	0.285136912465227	0.305674925129112	-0.0859064541798253	-0.16907037929703	-0.13778863694452	0.174506001243595	0.269049593391682	0.136467315354219	0.0808263636144616	0.108616615637247	0.220651839487317	0.202937802140631	0.247116958011886	0.231548756207887	0.218585166075538	0.416841150513084	0.304583986223318	0.208597386973981	-0.18112993796695	0.122584915907125	-0.033992353152712	0.20565255271446	0.305997629170323	0.261080058395055	0.161749597827496	0.140041239958311	0.0910083578857094	0.111294202168615	0.444127647214723	0.114032257137372	0.204364481333736	-0.0705135653982919	-0.219371927135602	0.0116945486070052	-0.0826295706003527	-0.11837999108268	-0.210065013490389	-0.0675192043300527	-0.116996269456464	0.161878294303081	0.331627685570004	0.071239147114031	0.260345415206703	0.226836192266868	-0.04736304042084	0.0524601514210384	0.220348593925243	0.168759585929289	0.184544942852662	0.0378592281303633	0.186143971983074	0.398292964897363	0.0123013644133442	0.451364484369036	0.189082598057788	-0.00575335786886306	-0.0952994215337306	0.167094061650646	0.127291296081954	0.0665540715362051	0.247204581466133	0.0120011328771057	-0.176699564016756	-0.108136656026257	0.20851878259844	0.143921950595152	0.219682282208887	0.0977978561100698	-0.0154776638349152	0.227035799632413	0.205359285944426	0.211050531779046	0.20058384375316	0.0838163260291346	0.227806992282535	0.1142392422441	0.0411627690929288	0.130799041900939	0.0796602625552176	0.10205107029098	0.178164893760047	0.0683148340195089	0.157071260369452	0.0469167335020726	0.306220852749635	0.303885375459515	0.0857874159238192	0.161950640322233	0.135541490276582	0.262029097192806	0.181044713074924	0.156175688535962	0.270860071456091	-0.0698507584525157	0.336587322817009	0.0618562242912201	0.0560881206618822	0.0216651455119356	0.0393780451172556	0.0810414182115991	0.178062298685688	0.286490303032828	-0.298682754823018	0.141974491962099	0.0309771668811329	0.00622918984909421	0.0413537845854681
TCGA-BR-4187-01	0.313000477776709	0.125885365807755	0.265705498012166	0.460507653868581	0.435180415010343	0.506599561098647	0.286129650187613	0.306271421654805	0.11819574551506	-0.0167638512285709	0.0341867545148009	0.251062876445821	0.289545884396225	0.149599386309651	0.108876598605962	0.180714312385647	0.276139546690295	0.25963213437739	0.290812185901051	0.289282307814417	0.166227434279841	0.397747633293114	0.31453348784902	0.269174075402781	-0.172304106186711	0.221914759918152	0.00695789016121503	0.216010446893454	0.310911250462246	0.30712420055231	0.204784697584164	0.128287935101495	0.183532863264161	0.0351688586813137	0.407647845877587	0.470413447124652	0.274581980961588	0.106509143086567	-0.187819956415331	0.0269355002385526	-0.070187138571485	-0.0310465910127249	-0.142343739903127	-0.053325637515108	-0.0546143319174677	0.211627749967552	0.364275412596286	0.0282576278939107	0.243133517945628	0.250001457865858	-0.0937965303549435	0.120144694687027	0.224677341588843	0.213977640244894	0.252491061110443	0.075193454436632	0.18922457128582	0.399157591541573	-0.0186195900315738	0.468481546000735	0.197115711866067	0.120883763389752	-0.0998979987336355	0.14454117705029	0.114512338550814	0.135447354270241	0.246097246827115	0.106613511680079	-0.105086211498379	-0.0201340313835144	0.249146675019092	0.177838201776395	0.225178691031942	0.0991895577232544	0.0486634912567151	0.225494533598256	0.286916505233284	0.164097546289809	0.198219369235986	0.154023185551478	0.263887937637529	0.203574846533776	0.163774193169749	0.203973755074231	0.21056535922143	0.114812954740078	0.205427307516143	0.0502509433926965	0.172262487932161	0.0846777093863741	0.36807086907405	0.297255338999748	0.136276153941274	0.0971978940802097	0.144376453468841	0.222849929638411	0.135919585174831	0.103638314124005	0.287740809242127	-0.0546705508344671	0.289078306450499	0.149990890648485	0.0799854850616426	0.103030747718548	0.0140210687684456	0.0749613561156972	0.174463345735205	0.277289691873471	-0.0930916702748498	0.058846342661507	0.0682617282312317	0.0273529060594072	0.0460918078926931
TCGA-BR-4191-01	0.270872932103038	0.219292373475367	0.316244185050618	0.411391800985226	0.477211673869582	0.445270974841752	0.296491122690758	0.287788566868901	0.00378282113901477	-0.127571685679282	-0.0689408400209827	0.212249301771487	0.284256287235421	0.1477756241849	0.12354626457215	0.164928775609102	0.249416713603249	0.23430463876456	0.246605544459029	0.242671681394214	0.216037946471458	0.463338223607871	0.282127820154636	0.277134849415736	-0.150069342437712	0.113729781499238	0.0797487661873045	0.215204598943026	0.302755202286887	0.312933644116712	0.184721680235329	0.0785323112678794	0.10664140036921	0.106461781102038	0.442563987022511	0.326171846115741	0.228145344990451	-0.065222128182855	-0.189657396892186	0.00876421646326683	-0.113418942031723	-0.0982250710575993	-0.192980418545542	-0.124350344543855	-0.100491764568795	0.189034571045044	0.262208166464641	0.0806155257419373	0.290080494433902	0.261725534782273	-0.0738668296577953	0.0900194718441769	0.292679063041309	0.203307175405985	0.211193519867091	0.0428361353062125	0.185138301392668	0.409423543821795	0.0948836328049691	0.42878761317456	0.187269112216217	0.0505525644390495	-0.138570202955505	0.155241212243594	0.139631824089332	0.116847411191554	0.262910908084104	0.0197014336052725	-0.145988116713201	-0.0654257350333594	0.237840133625275	0.16717731641127	0.245408738016984	0.115386560156854	0.0575428717809205	0.238720126221711	0.217876206551578	0.205789292133481	0.195826611245453	0.0947351402704158	0.200700263958366	0.114960744935046	0.077869866167611	0.148955442404761	0.143687069985402	0.137543507453148	0.147971284763093	0.0673048671367621	0.166602921292171	0.0285432174609386	0.327034138880499	0.318386879386428	0.17077309429753	0.199709598477981	0.136573932435473	0.261938101843795	0.188813316652739	0.168868803173466	0.337185690980475	0.0241844633808814	0.318269638522994	0.148864413864132	0.0573733864131039	0.135369796418856	0.0693412297567264	0.082935424360119	0.209163623345446	0.24878136287413	-0.251885027855968	0.193164593887502	0.0155247498592025	-0.0100310250287388	0.0491669109047411
TCGA-BR-4201-01	0.328993708603093	0.204605940680237	0.39779308928643	0.415803503548483	0.462811741420601	0.393287645305851	0.344985217649278	0.273452347198831	-0.0335098647152152	-0.15097760088655	-0.104482134222278	0.172166443493451	0.296614279799097	0.158949332489116	0.147872725746458	0.216110705364974	0.227591013808666	0.209598322154733	0.30120359768791	0.287676598427929	0.222620312565749	0.481765385628352	0.337069613546941	0.295005879210747	-0.0617262708468678	0.273199978468383	0.0496437588105119	0.259048399792335	0.282826671195618	0.324270934469461	0.166535825486212	0.0827855105494403	0.150913961710643	0.0532409565100426	0.455760486365982	0.36683101951822	0.254315391670201	-0.0460542906878743	-0.192259839280932	-0.0324132734148559	-0.158117799664128	-0.105383883640041	-0.199950197476459	-0.156289780002042	-0.11430271250804	0.181302421276176	0.294455874714961	-0.0298536899921537	0.23109723550269	0.218529768981918	-0.182078843645895	0.10207432564001	0.239407860133055	0.225862528477646	0.234213038589255	0.079040631593272	0.172509130919214	0.385677817028873	0.0268650573363904	0.414734355503313	0.280546294268666	-0.0493094383194186	-0.184530718409972	0.173283636932453	0.12600621516782	0.130032165104382	0.245788048165586	0.0316876695510053	-0.163215043975368	-0.0498900010634005	0.243186702413199	0.182960369278365	0.256512475896178	0.125463753865171	0.0500852953553791	0.230231361235466	0.270349890157807	0.190544939335556	0.204343129576957	0.0957477902239568	0.232565613393744	0.105184952281566	0.0317832269023656	0.107309742952971	0.149404011862306	0.150515806154943	0.156401909704402	-0.0546324087103555	0.200902035927923	0.0841654851718402	0.303948726334868	0.28572307884707	0.124406860586332	0.125018226613793	0.108515939659864	0.232918455653923	0.15211711018533	0.0966170002163083	0.291957757958868	-0.0923898426740847	0.269193845373476	0.204649401909815	0.0808986853472162	0.169216129146182	0.0525921127329775	0.0397140605054298	0.176833818717703	0.360755793760284	-0.282818602705136	0.188122776560684	-0.0581031078199598	-0.0972741239924646	0.000693614848449267
TCGA-BR-4253-01	0.0926893060809682	0.185001448964515	0.304115785394474	0.439848634764116	0.388166237823458	0.360391645443722	0.345684168897789	0.297888279615609	0.0143683867145085	-0.108870514753176	-0.0475486630874057	0.18307577755324	0.287064897530626	0.186032887128066	0.154357807242037	0.158807002712157	0.220576478756788	0.205375419868883	0.226731331924987	0.234164281440762	0.200524799296244	0.505369849664729	0.298965284349841	0.25093123174173	-0.149450883945973	0.128525606396837	0.147016310106235	0.253776200720345	0.280769689154184	0.311808215719712	0.253012706220745	0.0260596203450193	0.118228735466104	0.0875379894464205	0.451828481888247	0.00996007344273925	0.246748379711225	-0.111571663702394	-0.259525835455275	0.00554050359454321	-0.141996857857593	-0.11872208662235	-0.217957914299199	-0.0783642096948825	-0.0663557889177355	0.19953303915518	0.172881044537363	0.0533490407662427	0.268708110041883	0.24026099811751	-0.092887139569793	0.0867432192047812	0.238155461884013	0.213546577162863	0.212155051085225	0.0648229658895076	0.224310390703127	0.400908435832448	0.0200557959059517	0.412668974125129	0.162464390425498	-0.0415284657221412	-0.164280633672092	0.135345031511743	0.129330818565977	0.12852336394045	0.231835104078635	-0.00102027806227675	-0.128582657234718	-0.0405012107493221	0.194661141037948	0.186133732689846	0.281322667816201	0.12814733670026	0.0320302410937538	0.260284758936241	0.2324042752722	0.202036918995594	0.225600260875321	0.144276381924978	0.206597771462668	0.0765896017525934	0.00287070613063615	0.087067752014849	0.15058905623297	0.216354713667705	0.135231805502112	-0.164039153390567	0.220801274379735	0.100848064135216	0.275392053137239	0.298336629363447	0.153414785082748	0.0823246581694229	0.0739697718390972	0.178859972063929	0.152353861016002	0.0543855260934002	0.285013431464916	-0.0127371543598422	0.318343085265523	0.202993623805542	0.149522328090152	0.173871403768494	0.163651155409077	0.0952457477985629	0.165164418202754	0.275133272814106	-0.137367952029417	0.140890380299279	-0.0335403196573245	-0.0740087896003552	0.0375984241836159
