Tag	p.value	HR	Low 95%CI	High 95%CI	type
ABCA1	0.0108052698333223	1.26797553679487	1.05639258137151	1.52193605886828	Risk
ABCA2	0.0213830240582303	0.804907441196375	0.6690626540838	0.968333809903772	Protective
ABCC9	0.010202033737451	1.18515689559688	1.04108947620153	1.34916056620377	Risk
ABCG1	0.0319535279505546	1.22792031685079	1.01786889348656	1.48131877708752	Risk
DDO	0.0166116998981046	1.25514991901779	1.04215869313385	1.51167123547473	Risk
CHI3L2	0.0303640433887164	1.15595636132502	1.01383898406629	1.31799539205765	Risk
GFPT2	0.0259625424737722	1.16444360522934	1.01840891030714	1.33141893794956	Risk
CYP7B1	0.0284667805297927	1.1844817660367	1.017998610145	1.37819152216091	Risk
ACOT1	0.0409522239855247	1.24913032252926	1.009188959732	1.54611933435778	Risk
MOCS1	0.00858874219437527	1.2768376114973	1.0640934087242	1.53211576424368	Risk
VKORC1	0.0369114182818752	1.34116426845187	1.01799366070681	1.7669280904197	Risk
NDUFA4L2	0.0393860662260801	1.17734924590216	1.0079697960443	1.37519125301793	Risk
GAMT	0.00184366972674839	1.19300370758935	1.06759900623697	1.33313897634523	Risk
AADAC	0.00356131476894751	1.13354442244433	1.04191123441866	1.23323649386655	Risk
FMO2	0.0362532535371055	1.13155961950236	1.00794696418573	1.27033189045092	Risk
ACOX2	0.0307224801847844	1.18424043110958	1.01583044210713	1.38057035952336	Risk
CPT1C	0.0405548223837776	1.19851177262314	1.00781887120288	1.42528633880591	Risk
CYP4X1	0.0328984530288107	0.875958033449698	0.775604789052084	0.98929569182113	Protective
ECH1	0.000773491207988616	1.49571653642287	1.18282304230061	1.8913800943356	Risk
FAAH	0.000574000766563053	0.726424341238863	0.605599597466853	0.871355142492807	Protective
FAAH2	0.0435327757129449	0.8305260658477	0.693501925436026	0.994623837012097	Protective
LPL	0.0110801599043847	1.18117386316132	1.03876464143267	1.34310664742227	Risk
PHYHD1	0.021503799638496	1.1823591825644	1.02501206737214	1.36386027159505	Risk
MTHFR	0.0481034425359035	0.77637748545597	0.604036221411572	0.997890488279563	Protective
GLUD2	0.013621325461439	1.3553680568923	1.06449965571028	1.72571457378093	Risk
GPX3	0.000414806976669139	1.24034848186418	1.1005567472189	1.39789643773524	Risk
GPX7	0.0049508808264482	1.24803190391644	1.0693348516497	1.45659110501293	Risk
GPX8	0.00315276663879701	1.27104755462805	1.08396280983907	1.49042187744964	Risk
GSTO1	0.048144026165358	1.33407094614287	1.00235564607289	1.77556269205982	Risk
FUT2	0.00524722676656777	0.823268217317821	0.718191608419767	0.94371829146954	Protective
GLT8D1	0.00949406267481291	1.56101657862401	1.11495750992072	2.1855297058919	Risk
GLT8D2	0.00252383895601768	1.27855506697286	1.0901087689979	1.49957793733252	Risk
ST3GAL6	0.00349828481670109	1.43373970697915	1.12577272765697	1.82595429509731	Risk
ST6GALNAC4	0.0495716860815738	0.814091498794727	0.663000305994667	0.999614875615422	Protective
MANEAL	0.0123722858146224	0.845059751913208	0.740626095512069	0.96421931205363	Protective
CHSY3	0.0217267704546539	1.30556847053906	1.03970423399041	1.63941722611223	Risk
INPP5J	0.00695660918254679	0.736756815756365	0.590166233529399	0.919758831875661	Protective
ATP1B2	0.019359067193836	1.19210860787268	1.02885585460206	1.38126534111409	Risk
CACNA2D1	0.0380852976186373	1.14320809119244	1.00738210370058	1.29734758535706	Risk
