Samples	Cluster
TCGA-F1-A72C-01	C1
TCGA-FP-7735-01	C2
TCGA-FP-7829-01	C1
TCGA-FP-7916-01	C2
TCGA-FP-7998-01	C1
TCGA-FP-8099-01	C1
TCGA-FP-8209-01	C2
TCGA-FP-8210-01	C2
TCGA-FP-8211-01	C1
TCGA-FP-8631-01	C1
TCGA-FP-A4BF-01	C2
TCGA-FP-A8CX-01	C1
TCGA-FP-A9TM-01	C1
TCGA-HF-7132-01	C1
TCGA-HF-7133-01	C1
TCGA-HF-7134-01	C1
TCGA-HF-A5NB-01	C1
TCGA-HJ-7597-01	C1
TCGA-HU-8238-01	C1
TCGA-HU-8244-01	C1
TCGA-HU-8249-01	C1
TCGA-HU-8602-01	C1
TCGA-HU-8604-01	C1
TCGA-HU-8608-01	C1
TCGA-HU-8610-01	C1
TCGA-HU-A4G2-01	C1
TCGA-HU-A4G3-01	C2
TCGA-HU-A4G8-01	C1
TCGA-HU-A4G9-01	C1
TCGA-HU-A4GC-01	C2
TCGA-HU-A4GD-01	C1
TCGA-HU-A4GF-01	C1
TCGA-HU-A4GH-01	C1
TCGA-HU-A4GJ-01	C2
TCGA-HU-A4GP-01	C2
TCGA-HU-A4GQ-01	C2
TCGA-HU-A4GT-01	C1
TCGA-HU-A4GU-01	C1
TCGA-HU-A4GX-01	C1
TCGA-HU-A4GY-01	C2
TCGA-HU-A4H0-01	C1
TCGA-HU-A4H2-01	C1
TCGA-HU-A4H3-01	C1
TCGA-HU-A4H4-01	C1
TCGA-HU-A4H5-01	C1
TCGA-HU-A4H6-01	C2
TCGA-HU-A4H8-01	C1
TCGA-HU-A4HB-01	C2
TCGA-HU-A4HD-01	C1
TCGA-IN-7806-01	C1
TCGA-IN-7808-01	C2
TCGA-IN-8462-01	C2
TCGA-IN-8663-01	C2
TCGA-IN-A6RI-01	C1
TCGA-IN-A6RJ-01	C2
TCGA-IN-A6RL-01	C2
TCGA-IN-A6RN-01	C2
TCGA-IN-A6RR-01	C2
TCGA-IN-A6RS-01	C1
TCGA-IN-A7NR-01	C2
TCGA-IN-A7NT-01	C2
TCGA-IN-A7NU-01	C2
TCGA-IN-AB1V-01	C2
TCGA-IN-AB1X-01	C1
TCGA-IP-7968-01	C2
TCGA-KB-A6F7-01	C2
TCGA-KB-A93G-01	C2
TCGA-KB-A93H-01	C1
TCGA-KB-A93J-01	C1
TCGA-MX-A5UG-01	C2
TCGA-MX-A5UJ-01	C2
TCGA-MX-A663-01	C2
TCGA-MX-A666-01	C2
TCGA-R5-A7O7-01	C2
TCGA-R5-A7ZE-01	C1
TCGA-R5-A7ZF-01	C1
