"GSM1523727",1
"GSM1523728",1
"GSM1523729",1
"GSM1523744",1
"GSM1523745",2
"GSM1523746",2
"GSM1523747",1
"GSM1523748",2
"GSM1523765",1
"GSM1523768",2
"GSM1523769",2
"GSM1523770",1
"GSM1523771",2
"GSM1523772",2
"GSM1523773",2
"GSM1523774",2
"GSM1523775",2
"GSM1523776",1
"GSM1523777",1
"GSM1523778",2
"GSM1523779",1
"GSM1523780",1
"GSM1523781",1
"GSM1523782",1
"GSM1523783",2
"GSM1523784",2
"GSM1523785",1
"GSM1523786",2
"GSM1523787",1
"GSM1523788",2
"GSM1523789",2
"GSM1523790",1
"GSM1523791",1
"GSM1523792",1
"GSM1523793",1
"GSM1523794",1
"GSM1523795",1
"GSM1523796",2
"GSM1523797",2
"GSM1523798",2
"GSM1523799",1
"GSM1523800",1
"GSM1523801",1
"GSM1523802",1
"GSM1523803",1
"GSM1523804",2
"GSM1523805",2
"GSM1523806",1
"GSM1523807",1
"GSM1523808",2
"GSM1523809",1
"GSM1523810",1
"GSM1523811",2
"GSM1523812",2
"GSM1523813",1
"GSM1523814",1
"GSM1523815",1
"GSM1523816",1
"GSM1523817",1
"GSM1523818",1
"GSM1523819",1
"GSM1523820",1
"GSM1523821",1
"GSM1523822",2
"GSM1523823",1
"GSM1523824",1
"GSM1523825",1
"GSM1523826",2
"GSM1523827",2
"GSM1523828",2
"GSM1523829",1
"GSM1523830",1
"GSM1523831",1
"GSM1523832",2
"GSM1523833",1
"GSM1523834",2
"GSM1523835",2
"GSM1523836",2
"GSM1523837",1
"GSM1523838",1
"GSM1523839",2
"GSM1523840",1
"GSM1523841",2
"GSM1523842",1
"GSM1523843",2
"GSM1523844",2
"GSM1523845",2
"GSM1523846",2
"GSM1523847",1
"GSM1523848",2
"GSM1523849",2
"GSM1523850",2
"GSM1523851",1
"GSM1523852",2
"GSM1523853",1
"GSM1523854",2
"GSM1523855",1
"GSM1523856",2
"GSM1523857",2
"GSM1523858",2
"GSM1523859",1
"GSM1523860",1
"GSM1523861",1
"GSM1523862",2
"GSM1523863",1
"GSM1523864",1
"GSM1523865",1
"GSM1523866",2
"GSM1523867",1
"GSM1523868",2
"GSM1523869",1
"GSM1523870",1
"GSM1523871",1
"GSM1523872",2
"GSM1523873",2
"GSM1523874",2
"GSM1523875",1
"GSM1523876",1
"GSM1523877",1
"GSM1523878",2
"GSM1523879",1
"GSM1523880",1
"GSM1523881",1
"GSM1523882",1
"GSM1523883",1
"GSM1523884",2
"GSM1523885",1
"GSM1523886",2
"GSM1523887",1
"GSM1523888",1
"GSM1523889",1
"GSM1523890",2
"GSM1523891",2
"GSM1523892",2
"GSM1523893",1
"GSM1523894",1
"GSM1523895",1
"GSM1523896",2
"GSM1523897",1
"GSM1523898",1
"GSM1523899",1
"GSM1523901",1
"GSM1523903",1
"GSM1523904",2
"GSM1523905",1
"GSM1523906",2
"GSM1523908",1
"GSM1523909",1
"GSM1523910",1
"GSM1523911",1
"GSM1523918",2
"GSM1523919",1
"GSM1523920",2
"GSM1523921",1
