"GSM1523727",1
"GSM1523728",2
"GSM1523729",3
"GSM1523744",1
"GSM1523745",4
"GSM1523746",5
"GSM1523747",6
"GSM1523748",7
"GSM1523765",1
"GSM1523768",4
"GSM1523769",4
"GSM1523770",2
"GSM1523771",4
"GSM1523772",4
"GSM1523773",4
"GSM1523774",7
"GSM1523775",4
"GSM1523776",1
"GSM1523777",1
"GSM1523778",8
"GSM1523779",3
"GSM1523780",2
"GSM1523781",5
"GSM1523782",2
"GSM1523783",7
"GSM1523784",7
"GSM1523785",3
"GSM1523786",7
"GSM1523787",1
"GSM1523788",4
"GSM1523789",4
"GSM1523790",2
"GSM1523791",2
"GSM1523792",3
"GSM1523793",3
"GSM1523794",6
"GSM1523795",2
"GSM1523796",4
"GSM1523797",7
"GSM1523798",4
"GSM1523799",6
"GSM1523800",2
"GSM1523801",1
"GSM1523802",1
"GSM1523803",6
"GSM1523804",7
"GSM1523805",8
"GSM1523806",3
"GSM1523807",9
"GSM1523808",4
"GSM1523809",1
"GSM1523810",2
"GSM1523811",8
"GSM1523812",8
"GSM1523813",2
"GSM1523814",6
"GSM1523815",2
"GSM1523816",1
"GSM1523817",10
"GSM1523818",1
"GSM1523819",1
"GSM1523820",6
"GSM1523821",1
"GSM1523822",8
"GSM1523823",2
"GSM1523824",1
"GSM1523825",2
"GSM1523826",7
"GSM1523827",7
"GSM1523828",4
"GSM1523829",3
"GSM1523830",1
"GSM1523831",10
"GSM1523832",7
"GSM1523833",1
"GSM1523834",4
"GSM1523835",4
"GSM1523836",8
"GSM1523837",1
"GSM1523838",2
"GSM1523839",8
"GSM1523840",8
"GSM1523841",8
"GSM1523842",5
"GSM1523843",8
"GSM1523844",4
"GSM1523845",4
"GSM1523846",8
"GSM1523847",2
"GSM1523848",8
"GSM1523849",4
"GSM1523850",4
"GSM1523851",2
"GSM1523852",7
"GSM1523853",3
"GSM1523854",8
"GSM1523855",1
"GSM1523856",4
"GSM1523857",4
"GSM1523858",4
"GSM1523859",8
"GSM1523860",2
"GSM1523861",3
"GSM1523862",4
"GSM1523863",2
"GSM1523864",3
"GSM1523865",2
"GSM1523866",4
"GSM1523867",3
"GSM1523868",4
"GSM1523869",9
"GSM1523870",2
"GSM1523871",3
"GSM1523872",4
"GSM1523873",8
